split_name,index,true_label,pred_label,correct,loss,conf_true,conf_max,entropy,logit_true,logit_gap,m_entropy
member,33553,7,7,1,0.038659,0.771724,0.771724,0.822734,10.561915,3.332142,-0.822734
member,9427,8,8,1,-0.000000,0.357843,0.357843,1.686022,49.531849,41.419857,-1.686022
member,199,0,0,1,0.045460,0.649269,0.649269,1.079888,12.789786,3.455267,-1.079888
member,12447,6,6,1,0.002726,0.253980,0.253980,1.723391,21.620012,6.567269,-1.723391
member,39489,1,1,1,0.000379,0.583657,0.583657,1.156572,18.794264,7.888162,-1.156572
member,42724,6,6,1,0.000133,0.357504,0.357504,1.445439,15.795593,9.510458,-1.445439
member,10822,8,8,1,0.000002,0.623294,0.623294,1.097668,17.924925,13.301170,-1.097668
member,49498,0,0,1,0.003477,0.659565,0.659565,1.082946,20.185747,5.798286,-1.082946
member,4144,6,6,1,0.000086,0.386878,0.386878,1.264428,21.054798,9.619760,-1.264428
member,36958,5,5,1,0.000020,0.510854,0.510854,1.085481,20.177010,10.840375,-1.085481
member,43106,2,2,1,0.000177,0.482471,0.482471,1.441141,16.525673,8.642489,-1.441141
member,38695,5,5,1,0.227517,0.408048,0.408048,1.293671,10.933023,1.370618,-1.293671
member,6188,0,0,1,0.001845,0.446787,0.446787,1.521070,20.113377,6.294576,-1.521070
member,1414,7,4,0,1.097248,0.239455,0.575401,1.179470,17.675806,-0.691074,1.179470
member,18471,1,1,1,0.006438,0.484122,0.484122,1.377008,19.887554,5.042279,-1.377008
member,29282,6,6,1,0.000547,0.553320,0.553320,1.354988,21.661371,7.644457,-1.354988
member,15177,5,5,1,0.002276,0.396750,0.396750,1.515530,12.702875,6.926769,-1.515530
member,34304,6,6,1,0.000001,0.439197,0.439197,1.595061,29.174770,13.994047,-1.595061
member,12609,6,6,1,0.000408,0.763229,0.763229,0.835098,15.980893,7.953897,-0.835098
member,12144,5,5,1,0.000092,0.364105,0.364105,1.868084,20.106791,9.314670,-1.868084
member,6113,0,0,1,0.004048,0.526791,0.526791,1.140099,32.327877,5.507620,-1.140099
member,15908,5,5,1,0.028858,0.607361,0.607361,1.349463,17.575825,3.625038,-1.349463
member,821,7,7,1,0.000108,0.385927,0.385927,1.650185,15.984249,9.812325,-1.650185
member,15118,2,2,1,0.000098,0.664503,0.664503,0.881163,16.419600,9.882577,-0.881163
member,13466,4,4,1,0.016259,0.558252,0.558252,1.196985,23.043589,4.111006,-1.196985
member,26497,4,4,1,-0.000000,0.851487,0.851487,0.492632,23.153173,18.809467,-0.492632
member,42111,5,5,1,0.016145,0.482216,0.482216,1.250970,13.830615,4.177528,-1.250970
member,30188,5,5,1,0.000108,0.852228,0.852228,0.530784,27.123674,9.135002,-0.530784
member,37237,4,4,1,-0.000000,0.585455,0.585455,1.183802,20.738407,17.388363,-1.183802
member,33109,8,8,1,-0.000000,0.633064,0.633064,0.950698,31.831018,21.723631,-0.950698
member,36480,4,4,1,0.011146,0.755108,0.755108,0.701972,11.817940,4.858429,-0.701972
member,24148,3,3,1,0.000180,0.409789,0.409789,1.714661,22.070818,8.625172,-1.714661
member,5503,5,5,1,0.000437,0.481915,0.481915,1.340438,16.832582,7.897099,-1.340438
member,3918,0,0,1,0.002079,0.648631,0.648631,1.183734,24.294170,6.196592,-1.183734
member,38478,0,0,1,0.000000,0.658646,0.658646,0.926344,24.835533,15.862885,-0.926344
member,21123,8,8,1,0.000000,0.262434,0.262434,1.632199,38.634392,16.500139,-1.632199
member,49717,0,0,1,0.023333,0.645137,0.645137,0.975599,13.942758,3.755473,-0.975599
member,42294,1,1,1,0.000000,0.617471,0.617471,0.762278,24.646553,15.689620,-0.762278
member,47609,8,8,1,-0.000000,0.564367,0.564367,1.194315,36.682629,22.087555,-1.194315
member,11076,0,0,1,0.010726,0.403990,0.403990,1.545815,6.913237,5.132630,-1.545815
member,41514,3,3,1,0.029343,0.701237,0.701237,0.861028,15.078258,3.516144,-0.861028
member,22062,0,0,1,0.003949,0.577690,0.577690,1.290882,16.830019,5.532850,-1.290882
member,9413,0,0,1,0.002187,0.675122,0.675122,1.084265,14.472089,6.131750,-1.084265
member,38340,0,0,1,0.000078,0.638675,0.638675,1.015045,21.290485,9.459837,-1.015045
member,30263,9,9,1,-0.000000,0.523621,0.523621,1.097609,24.245337,22.237892,-1.097609
member,41252,4,4,1,0.004911,0.761546,0.761546,0.797064,17.296627,5.610004,-0.797064
member,14644,4,4,1,0.020391,0.000000,0.330392,1.449425,13.531764,3.893664,-1.449425
member,26335,6,6,1,0.000278,0.585479,0.585479,1.008604,17.731743,8.644300,-1.008604
member,28102,7,7,1,-0.000000,0.435133,0.435133,1.074011,26.729601,17.454594,-1.074011
member,17523,6,6,1,-0.000000,0.549137,0.549137,1.091829,28.655380,17.379169,-1.091829
member,24712,9,9,1,-0.000000,0.297852,0.297852,1.688236,28.422899,27.466242,-1.688236
member,40485,0,0,1,0.059651,0.461633,0.461633,1.372539,25.759186,2.789341,-1.372539
member,3850,9,9,1,0.000001,0.808979,0.808979,0.668585,16.353552,14.747403,-0.668585
member,40040,9,9,1,-0.000000,0.443182,0.443182,1.353685,57.183784,38.318077,-1.353685
member,15267,4,4,1,0.014105,0.445223,0.445223,1.409364,14.345667,4.801649,-1.409364
member,49146,3,3,1,0.004930,0.904697,0.904697,0.366712,17.896004,5.325145,-0.366712
member,30001,6,6,1,0.002280,0.593325,0.593325,1.201026,11.794497,6.497604,-1.201026
member,45926,2,2,1,0.016238,0.289582,0.289582,1.704726,11.839345,4.122811,-1.704726
member,43824,9,9,1,0.000017,0.743504,0.743504,0.764809,39.228348,11.009254,-0.764809
member,17240,9,9,1,0.000002,0.570688,0.570688,1.309619,30.198832,13.032604,-1.309619
member,4892,8,8,1,-0.000000,0.401011,0.432471,1.088187,34.255554,23.271935,-1.088187
member,725,4,4,1,0.010861,0.684138,0.684138,1.049189,12.001682,4.604053,-1.049189
member,22949,4,4,1,0.002229,0.455462,0.455462,1.677524,12.015225,6.702246,-1.677524
member,34657,8,8,1,0.000001,0.446920,0.446920,1.402315,28.828518,14.193995,-1.402315
member,37213,1,1,1,0.000320,0.578097,0.578097,0.883292,35.665634,8.048342,-0.883292
member,20304,1,1,1,0.000001,0.495555,0.495555,1.425525,41.154156,13.847399,-1.425525
member,15269,3,3,1,0.001042,0.725105,0.725105,0.960684,14.800982,7.194721,-0.960684
member,22367,9,9,1,-0.000000,0.883630,0.883630,0.466250,37.656212,16.835606,-0.466250
member,42684,1,1,1,0.000000,0.270166,0.270166,1.769274,25.344784,14.992113,-1.769274
member,46734,5,5,1,0.000080,0.907355,0.907355,0.389120,29.432159,9.435371,-0.389120
member,11732,0,0,1,0.000008,0.765263,0.765263,0.784187,20.144699,11.943472,-0.784187
member,18619,3,3,1,0.023534,0.355653,0.355653,1.542153,13.801706,3.741276,-1.542153
member,48492,0,0,1,0.000217,0.764462,0.764462,0.869453,13.826211,8.575066,-0.869453
member,26803,2,2,1,0.000505,0.779525,0.779525,0.747211,17.613272,7.721869,-0.747211
member,44305,2,2,1,0.000051,0.357242,0.357242,1.524898,19.445318,9.935386,-1.524898
member,47522,7,7,1,0.000007,0.797196,0.797196,0.710333,22.153763,11.883617,-0.710333
member,32207,8,8,1,0.000099,0.523649,0.523649,0.903190,13.104041,10.339797,-0.903190
member,2530,3,3,1,0.007207,0.609478,0.609478,1.083272,16.151493,4.951388,-1.083272
member,17746,1,1,1,0.002071,0.640882,0.640882,1.200327,43.260040,6.178444,-1.200327
member,8270,8,8,1,0.000000,0.480843,0.480843,1.477876,20.288189,15.668221,-1.477876
