split_name,index,true_label,pred_label,correct,loss,conf_true,conf_max,entropy,logit_true,logit_gap,m_entropy
member,33553,7,7,1,0.046809,0.954270,0.954270,0.217755,12.723960,3.670334,-0.217755
member,9427,8,8,1,-0.000000,1.000000,1.000000,0.000000,48.004478,40.689262,-0.000000
member,199,0,0,1,0.014841,0.985268,0.985268,0.076759,18.820089,4.202913,-0.076759
member,12447,6,6,1,0.000108,0.999892,0.999892,0.001188,22.952631,9.597425,-0.001188
member,39489,1,1,1,0.000382,0.999618,0.999618,0.003641,19.398830,8.216711,-0.003641
member,42724,6,6,1,0.000002,0.999998,0.999998,0.000032,16.332790,13.776722,-0.000032
member,10822,8,8,1,-0.000000,1.000000,1.000000,0.000000,23.160872,19.572313,-0.000000
member,49498,0,0,1,0.000052,0.999948,0.999948,0.000569,28.440241,9.883305,-0.000569
member,4144,6,6,1,0.000378,0.999622,0.999622,0.003539,16.465563,8.091271,-0.003539
member,36958,5,5,1,0.262283,0.769293,0.769293,0.559008,9.525131,1.217892,-0.559008
member,43106,2,2,1,0.002050,0.997952,0.997952,0.014747,15.314950,6.189815,-0.014747
member,38695,5,5,1,0.003141,0.996864,0.996864,0.021295,16.649176,5.765353,-0.021295
member,6188,0,0,1,0.000053,0.999947,0.999947,0.000575,22.255407,9.848615,-0.000575
member,1414,7,7,1,0.001541,0.998461,0.998461,0.011508,23.219793,6.474850,-0.011508
member,18471,1,1,1,0.000009,0.999991,0.999991,0.000117,24.672743,11.591080,-0.000117
member,29282,6,6,1,0.000042,0.999958,0.999958,0.000463,22.235033,10.094378,-0.000463
member,15177,5,5,1,0.000261,0.999739,0.999739,0.002651,14.996763,8.598999,-0.002651
member,34304,6,6,1,0.000033,0.999967,0.999967,0.000374,25.571085,10.316644,-0.000374
member,12609,6,6,1,0.000009,0.999991,0.999991,0.000120,19.408169,11.790033,-0.000120
member,12144,5,5,1,0.002680,0.997324,0.997324,0.019805,14.807773,6.123792,-0.019805
member,6113,0,0,1,0.000017,0.999983,0.999983,0.000200,26.826860,11.005163,-0.000200
member,15908,5,5,1,0.001393,0.998608,0.998608,0.011449,18.437618,6.947998,-0.011449
member,821,7,7,1,0.000198,0.999802,0.999802,0.001990,15.942882,8.726229,-0.001990
member,15118,2,2,1,0.000011,0.999989,0.999989,0.000142,19.428736,12.073566,-0.000142
member,13466,4,4,1,0.009140,0.990902,0.990902,0.051815,21.787613,4.690557,-0.051815
member,26497,4,4,1,-0.000000,1.000000,1.000000,0.000001,23.515890,18.094048,-0.000001
member,42111,5,5,1,0.004466,0.995544,0.995544,0.032151,13.994270,6.044282,-0.032151
member,30188,5,5,1,0.037558,0.963139,0.963139,0.166466,20.132036,3.326784,-0.166466
member,37237,4,4,1,0.000519,0.999481,0.999481,0.004644,18.649147,7.657897,-0.004644
member,33109,8,8,1,-0.000000,1.000000,1.000000,0.000000,36.790070,27.862341,-0.000000
member,36480,4,4,1,0.000354,0.999646,0.999646,0.003477,18.027308,8.224783,-0.003477
member,24148,3,3,1,0.000046,0.999954,0.999954,0.000515,19.053656,10.062608,-0.000515
member,5503,5,5,1,0.003990,0.996018,0.996018,0.028909,16.278666,5.807588,-0.028909
member,3918,0,0,1,0.003157,0.996848,0.996848,0.021858,21.934875,5.800228,-0.021858
member,38478,0,0,1,0.000000,1.000000,1.000000,0.000001,23.938116,16.592049,-0.000001
member,21123,8,8,1,0.000046,0.999954,0.999954,0.000534,28.801212,10.469671,-0.000534
member,49717,0,0,1,0.064566,0.937475,0.937475,0.239568,11.827468,2.722909,-0.239568
member,42294,1,1,1,0.000147,0.999853,0.999853,0.001501,20.054144,8.963412,-0.001501
member,47609,8,8,1,-0.000000,1.000000,1.000000,0.000000,34.176189,25.375702,-0.000000
member,11076,0,0,1,0.020342,0.979864,0.979864,0.131348,6.972842,4.945863,-0.131348
member,41514,3,6,0,0.933321,0.393246,0.606404,0.673494,11.051864,-0.433112,0.673494
member,22062,0,0,1,0.000019,0.999981,0.999981,0.000223,19.979721,10.899546,-0.000223
member,9413,0,0,1,0.046018,0.955025,0.955025,0.183593,12.312873,3.055971,-0.183593
member,38340,0,0,1,0.000034,0.999966,0.999966,0.000390,16.845409,10.302498,-0.000390
member,30263,9,9,1,-0.000000,1.000000,1.000000,0.000000,24.054174,17.762411,-0.000000
member,41252,4,4,1,0.001248,0.998752,0.998752,0.010200,19.748772,6.844587,-0.010200
member,14644,4,4,1,0.001401,0.998600,0.998600,0.010659,15.617400,6.576000,-0.010659
member,26335,6,6,1,0.014344,0.985759,0.985759,0.081012,15.770535,4.413616,-0.081012
member,28102,7,7,1,-0.000000,1.000000,1.000000,0.000000,27.769186,20.790905,-0.000000
member,17523,6,6,1,0.000000,1.000000,1.000000,0.000003,26.614231,15.639105,-0.000003
member,24712,9,9,1,-0.000000,1.000000,1.000000,0.000000,37.362823,25.308992,-0.000000
member,40485,0,0,1,0.048898,0.952278,0.952278,0.191751,28.481285,2.993471,-0.191751
member,3850,9,9,1,0.000011,0.999989,0.999989,0.000144,15.913047,11.592854,-0.000144
member,40040,9,9,1,-0.000000,1.000000,1.000000,0.000000,45.635017,28.357960,-0.000000
member,15267,4,4,1,0.007939,0.992092,0.992092,0.048402,15.533587,4.917841,-0.048402
member,49146,3,3,1,0.012075,0.987998,0.987998,0.073672,12.033474,4.678275,-0.073672
member,30001,6,6,1,0.000022,0.999978,0.999978,0.000294,13.774278,11.571127,-0.000294
member,45926,2,2,1,0.002867,0.997137,0.997137,0.021152,11.668783,6.001513,-0.021152
member,43824,9,9,1,0.000036,0.999964,0.999964,0.000403,32.869385,10.235312,-0.000403
member,17240,9,9,1,0.000000,1.000000,1.000000,0.000008,37.059929,14.484102,-0.000008
member,4892,8,8,1,0.000000,1.000000,1.000000,0.000001,28.255192,16.515495,-0.000001
member,725,4,4,1,0.047702,0.953418,0.953418,0.221683,12.740617,3.494114,-0.221683
member,22949,4,4,1,0.000095,0.999905,0.999905,0.001072,17.106806,10.111515,-0.001072
member,34657,8,8,1,0.000000,1.000000,1.000000,0.000004,26.267189,15.301741,-0.000004
member,37213,1,1,1,-0.000000,1.000000,1.000000,0.000000,37.588589,18.409922,-0.000000
member,20304,1,1,1,-0.000000,1.000000,1.000000,0.000000,44.565468,17.380180,-0.000000
member,15269,3,3,1,0.001739,0.998262,0.998262,0.014035,14.597836,6.728833,-0.014035
member,22367,9,9,1,0.000000,1.000000,1.000000,0.000006,38.779739,14.715733,-0.000006
member,42684,1,1,1,0.000048,0.999952,0.999952,0.000556,22.934635,10.408868,-0.000556
member,46734,5,5,1,0.000026,0.999974,0.999974,0.000296,25.667492,10.574404,-0.000296
member,11732,0,0,1,0.000007,0.999993,0.999993,0.000089,22.529160,12.475285,-0.000089
member,18619,3,3,1,0.001418,0.998583,0.998583,0.010815,15.617976,6.571295,-0.010815
member,48492,0,0,1,0.000829,0.999172,0.999172,0.007755,11.244695,8.112079,-0.007755
member,26803,2,2,1,0.003452,0.996554,0.996554,0.023022,17.491430,5.668805,-0.023022
member,44305,2,2,1,0.000050,0.999950,0.999950,0.000585,20.100670,10.487697,-0.000585
member,47522,7,7,1,0.000323,0.999677,0.999677,0.002923,20.542006,8.042264,-0.002923
member,32207,8,8,1,0.000002,0.999998,0.999998,0.000025,16.845417,13.601746,-0.000025
member,2530,3,3,1,0.000062,0.999938,0.999938,0.000678,19.823196,9.762344,-0.000678
member,17746,1,1,1,0.000012,0.999988,0.999988,0.000151,43.304764,11.309029,-0.000151
member,8270,8,8,1,0.000014,0.999986,0.999986,0.000174,19.374205,11.236303,-0.000174
member,15079,7,7,1,0.000029,0.999971,0.999971,0.000376,14.070911,11.620411,-0.000376
member,13624,5,5,1,0.031466,0.969024,0.969024,0.151755,13.732589,3.614883,-0.151755
member,30638,4,4,1,0.000038,0.999962,0.999962,0.000456,17.870977,10.836681,-0.000456
member,30440,0,0,1,0.000171,0.999829,0.999829,0.001671,18.893358,8.696517,-0.001671
member,36056,5,5,1,0.006796,0.993227,0.993227,0.041496,19.381285,5.011989,-0.041496
member,42651,7,7,1,0.000021,0.999979,0.999979,0.000244,30.555410,10.783709,-0.000244
