split_name,index,true_label,pred_label,correct,loss,conf_true,conf_max,entropy,logit_true,logit_gap,m_entropy
member,33553,7,1,0,2.986849,0.050446,0.205011,2.133555,-0.339292,-1.402157,2.133555
member,9427,8,8,1,0.391293,0.676182,0.676182,1.006368,4.145581,1.467925,-1.006368
member,199,0,8,0,1.076641,0.340738,0.391072,1.498637,2.369472,-0.137778,1.498637
member,12447,6,3,0,1.665455,0.189105,0.265283,1.787692,2.601504,-0.338495,1.787692
member,39489,1,3,0,1.785938,0.167640,0.332463,1.707357,1.910395,-0.684713,1.707357
member,42724,6,6,1,1.254450,0.285233,0.285233,1.998985,2.183461,0.829623,-1.998985
member,10822,8,8,1,0.779696,0.458546,0.458546,1.448510,3.148973,0.961731,-1.448510
member,49498,0,8,0,3.175342,0.041780,0.628769,1.028061,1.448023,-2.711351,1.028061
member,4144,6,6,1,0.529221,0.589064,0.589064,1.427541,3.596569,1.703245,-1.427541
member,36958,5,6,0,1.786913,0.167476,0.267780,1.994400,1.328849,-0.469324,1.994400
member,43106,2,9,0,3.347736,0.035164,0.250675,1.904898,-0.506612,-1.964139,1.904898
member,38695,5,6,0,2.764612,0.063001,0.290754,1.951851,0.268457,-1.529335,1.951851
member,6188,0,8,0,1.343090,0.261038,0.534480,1.245137,2.889586,-0.716629,1.245137
member,1414,7,6,0,1.711588,0.180579,0.265684,1.898567,1.755741,-0.386142,1.898567
member,18471,1,1,1,0.891347,0.410103,0.410103,1.268805,3.308316,0.040317,-1.268805
member,29282,6,7,0,3.690335,0.024964,0.388985,1.744775,-0.551890,-2.746120,1.744775
member,15177,5,6,0,2.519900,0.080468,0.330544,1.908970,0.522715,-1.412884,1.908970
member,34304,6,6,1,0.346920,0.706862,0.706862,1.150137,4.436514,2.328909,-1.150137
member,12609,6,6,1,1.154765,0.315132,0.315132,1.653306,3.795986,0.146740,-1.653306
member,12144,5,7,0,1.736253,0.176179,0.393458,1.807143,1.262198,-0.803472,1.807143
member,6113,0,8,0,1.283107,0.277175,0.413142,1.509983,2.252429,-0.399144,1.509983
member,15908,5,6,0,3.219387,0.039980,0.214736,1.958619,0.120162,-1.681040,1.958619
member,821,7,3,0,1.815905,0.162691,0.304073,1.771878,2.275412,-0.625417,1.771878
member,15118,2,7,0,1.617844,0.198326,0.233966,1.875417,1.672003,-0.165265,1.875417
member,13466,4,4,1,1.289541,0.275397,0.275397,1.772117,2.916491,0.365450,-1.772117
member,26497,4,6,0,1.741150,0.175319,0.252689,2.012928,1.174979,-0.365552,2.012928
member,42111,5,6,0,1.967569,0.139796,0.249940,1.877243,1.410892,-0.581034,1.877243
member,30188,5,7,0,2.088707,0.123847,0.244897,2.051594,0.667904,-0.681789,2.051594
member,37237,4,4,1,1.271388,0.280442,0.280442,1.732362,2.927794,0.286990,-1.732362
member,33109,8,8,1,0.629917,0.532636,0.532636,1.281416,3.750352,1.007672,-1.281416
member,36480,4,6,0,1.538463,0.214711,0.407757,1.663110,2.412165,-0.641380,1.663110
member,24148,3,9,0,2.666243,0.069513,0.390180,1.685721,0.592073,-1.725096,1.685721
member,5503,5,6,0,1.890325,0.151023,0.208883,2.046742,1.509393,-0.324342,2.046742
member,3918,0,0,1,0.146882,0.863396,0.863396,0.520603,5.114832,2.098375,-0.520603
member,38478,0,9,0,2.695682,0.067496,0.494270,1.664685,0.407195,-1.991009,1.664685
member,21123,8,8,1,0.507339,0.602095,0.602095,0.996873,5.010575,0.746376,-0.996873
member,49717,0,7,0,2.094963,0.123075,0.254003,2.159904,0.382286,-0.724554,2.159904
member,42294,1,1,1,0.876934,0.416057,0.416057,1.447796,2.715040,0.202567,-1.447796
member,47609,8,9,0,2.001108,0.135185,0.486044,1.468806,1.612077,-1.279652,1.468806
member,11076,0,1,0,3.587839,0.027658,0.159073,2.203678,-0.931850,-1.749443,2.203678
member,41514,3,9,0,2.787584,0.061570,0.279287,1.915857,0.103517,-1.512070,1.915857
member,22062,0,9,0,3.455579,0.031569,0.484834,1.186617,0.717451,-2.731630,1.186617
member,9413,0,7,0,3.070793,0.046384,0.160176,2.222765,-0.557443,-1.239312,2.222765
member,38340,0,1,0,6.855762,0.001053,0.732334,1.083692,-2.609023,-6.544243,1.083692
