split_name,index,true_label,pred_label,correct,loss,conf_true,conf_max,entropy,logit_true,logit_gap,m_entropy
member,33553,7,7,1,0.948891,0.387170,0.387170,1.661319,2.258372,0.533339,-1.661319
member,9427,8,8,1,0.001151,0.998850,0.998850,0.010219,9.715288,7.368879,-0.010219
member,199,0,8,0,0.877504,0.415819,0.564448,0.794515,5.094653,-0.305598,0.794515
member,12447,6,6,1,0.482298,0.617363,0.617363,1.170079,4.144658,1.337136,-1.170079
member,39489,1,1,1,0.828052,0.436900,0.436900,1.258431,3.033859,0.039757,-1.258431
member,42724,6,6,1,0.895312,0.408480,0.408480,1.666923,2.394028,0.895647,-1.666923
member,10822,8,8,1,0.192256,0.825095,0.825095,0.767416,3.854639,2.621638,-0.767416
member,49498,0,9,0,1.250061,0.286487,0.445640,1.202252,4.844414,-0.441817,1.202252
member,4144,6,6,1,0.184551,0.831477,0.831477,0.660596,5.275455,2.563264,-0.660596
member,36958,5,5,1,0.334345,0.715807,0.715807,0.788532,4.565793,1.117014,-0.788532
member,43106,2,2,1,0.776884,0.459837,0.459837,1.431023,2.866647,0.370351,-1.431023
member,38695,5,5,1,0.637936,0.528382,0.528382,1.276299,3.191999,0.606214,-1.276299
member,6188,0,0,1,0.238036,0.788175,0.788175,0.807783,5.376895,1.953650,-0.807783
member,1414,7,7,1,0.472172,0.623646,0.623646,1.032974,3.614182,0.869855,-1.032974
member,18471,1,1,1,0.674966,0.509174,0.509174,0.969036,3.865737,0.159769,-0.969036
member,29282,6,6,1,0.838915,0.432179,0.432179,1.208219,4.576444,0.333234,-1.208219
member,15177,5,7,0,1.909170,0.148203,0.468456,1.455260,2.389423,-1.150856,1.455260
member,34304,6,6,1,0.353332,0.702344,0.702344,0.858460,4.692901,1.088391,-0.858460
member,12609,6,2,0,1.363204,0.255840,0.260825,1.661604,1.927931,-0.019298,1.661604
member,12144,5,5,1,0.189835,0.827096,0.827096,0.576258,6.127813,1.799465,-0.576258
member,6113,0,0,1,0.618608,0.538694,0.538694,0.880985,4.974453,0.265266,-0.880985
member,15908,5,5,1,1.128268,0.323593,0.323593,1.543724,3.690291,0.021456,-1.543724
member,821,7,3,0,2.460907,0.085357,0.487337,1.074778,2.761046,-1.742107,1.074778
member,15118,2,2,1,0.514573,0.597756,0.597756,1.329128,2.989836,1.460522,-1.329128
member,13466,4,4,1,0.752473,0.471200,0.471200,1.405203,3.959782,0.567125,-1.405203
member,26497,4,4,1,0.186999,0.829444,0.829444,0.706428,5.218213,2.668234,-0.706428
member,42111,5,2,0,1.571983,0.207633,0.487931,1.369603,3.019580,-0.854402,1.369603
member,30188,5,3,0,2.361215,0.094306,0.717636,0.845211,3.909466,-2.029423,0.845211
member,37237,4,4,1,0.218239,0.803934,0.803934,0.815864,4.153075,2.446255,-0.815864
member,33109,8,8,1,0.037449,0.963243,0.963243,0.184989,6.859058,3.468833,-0.184989
member,36480,4,2,0,1.538861,0.214625,0.437779,1.511126,2.478025,-0.712820,1.511126
member,24148,3,3,1,0.270404,0.763071,0.763071,0.812246,4.429358,1.571729,-0.812246
member,5503,5,5,1,0.559185,0.571675,0.571675,1.305876,3.559798,1.056857,-1.305876
member,3918,0,0,1,0.038809,0.961934,0.961934,0.195468,7.391839,3.703341,-0.195468
member,38478,0,0,1,0.063340,0.938624,0.938624,0.314869,6.561886,3.740457,-0.314869
member,21123,8,8,1,0.256584,0.773690,0.773690,0.694325,5.538241,1.438028,-0.694325
member,49717,0,0,1,0.988331,0.372198,0.372198,1.535014,2.426808,0.167214,-1.535014
member,42294,1,1,1,0.061380,0.940466,0.940466,0.265247,6.495485,2.960356,-0.265247
member,47609,8,8,1,0.149916,0.860781,0.860781,0.586677,4.581959,2.340910,-0.586677
member,11076,0,5,0,2.305596,0.099699,0.383703,1.834617,0.428739,-1.347710,1.834617
member,41514,3,3,1,0.903375,0.405200,0.405200,1.562965,2.695441,0.326007,-1.562965
member,22062,0,9,0,2.017234,0.133023,0.418517,1.324146,3.175102,-1.146197,1.324146
member,9413,0,0,1,0.319398,0.726586,0.726586,1.091713,3.385192,2.172935,-1.091713
member,38340,0,0,1,0.383379,0.681555,0.681555,0.901586,4.554479,1.007620,-0.901586
member,30263,9,9,1,0.041397,0.959448,0.959448,0.233050,5.876028,4.192094,-0.233050
member,41252,4,7,0,1.652404,0.191589,0.542247,1.208884,3.218855,-1.040371,1.208884
member,14644,4,7,0,1.528831,0.216789,0.414377,1.476699,2.193269,-0.647852,1.476699
member,26335,6,6,1,0.757561,0.468808,0.468808,1.409903,3.295332,0.541441,-1.409903
member,28102,7,5,0,0.848495,0.428059,0.446841,1.114497,3.945854,-0.042942,1.114497
member,17523,6,6,1,0.074063,0.928613,0.928613,0.326945,7.033765,3.015881,-0.326945
member,24712,9,9,1,0.008808,0.991230,0.991230,0.064197,6.673672,5.652076,-0.064197
member,40485,0,0,1,0.024835,0.975471,0.975471,0.135201,8.948251,4.147919,-0.135201
member,3850,9,9,1,0.047548,0.953565,0.953565,0.257389,5.792272,4.064119,-0.257389
member,40040,9,9,1,0.003535,0.996472,0.996472,0.025451,9.604210,5.789906,-0.025451
member,15267,4,4,1,0.462307,0.629829,0.629829,1.261405,3.422455,1.640785,-1.261405
member,49146,3,7,0,2.107941,0.121488,0.443573,1.578085,1.764614,-1.295047,1.578085
member,30001,6,5,0,2.200137,0.110788,0.374981,1.813431,0.856580,-1.219256,1.813431
member,45926,2,2,1,1.125868,0.324371,0.324371,1.780123,1.878084,0.257312,-1.780123
member,43824,9,1,0,2.879446,0.056166,0.943606,0.218797,6.056029,-2.821399,0.218797
member,17240,9,9,1,0.191804,0.825468,0.825468,0.512226,5.889202,1.605783,-0.512226
member,4892,8,8,1,0.180979,0.834453,0.834453,0.577880,5.823089,1.877870,-0.577880
member,725,4,5,0,3.897976,0.020283,0.455652,1.423901,-0.043473,-3.111951,1.423901
member,22949,4,4,1,0.602636,0.547367,0.547367,1.476779,2.870729,1.479249,-1.476779
member,34657,8,8,1,0.173191,0.840977,0.840977,0.555887,5.328199,1.897689,-0.555887
member,37213,1,1,1,0.147437,0.862917,0.862917,0.450622,7.636480,1.932867,-0.450622
member,20304,1,1,1,0.156292,0.855309,0.855309,0.485889,7.919563,1.934642,-0.485889
member,15269,3,3,1,0.292159,0.746650,0.746650,0.779605,4.707563,1.328043,-0.779605
member,22367,9,9,1,0.237553,0.788555,0.788555,0.521797,9.579622,1.320342,-0.521797
member,42684,1,1,1,0.368830,0.691543,0.691543,0.919706,5.466655,1.468688,-0.919706
member,46734,5,5,1,0.323725,0.723449,0.723449,0.746953,4.786447,1.093442,-0.746953
member,11732,0,0,1,0.562118,0.570000,0.570000,1.107526,3.393273,0.564069,-1.107526
member,18619,3,5,0,0.853927,0.425740,0.522365,0.949970,3.594342,-0.204537,0.949970
member,48492,0,2,0,1.452168,0.234062,0.307396,1.881031,1.324735,-0.272548,1.881031
member,26803,2,2,1,0.423624,0.654670,0.654670,1.054767,3.674984,1.087028,-1.054767
member,44305,2,7,0,0.895216,0.408519,0.483064,1.064710,4.102370,-0.167610,1.064710
member,47522,7,7,1,0.520745,0.594078,0.594078,0.997833,3.726570,0.581353,-0.997833
member,32207,8,8,1,0.565435,0.568113,0.568113,1.506811,2.519539,1.629685,-1.506811
member,2530,3,3,1,0.600749,0.548400,0.548400,0.962883,4.185151,0.357018,-0.962883
member,17746,1,1,1,0.170183,0.843511,0.843511,0.435217,10.282775,1.685583,-0.435217
member,8270,8,8,1,0.681810,0.505701,0.505701,1.490274,2.845632,0.715096,-1.490274
member,15079,7,7,1,1.106596,0.330683,0.330683,1.641751,2.585330,0.246897,-1.641751
member,13624,5,5,1,0.927117,0.395693,0.395693,1.308276,3.069324,0.115836,-1.308276
member,30638,4,4,1,0.689358,0.501898,0.501898,1.555367,2.574225,0.866396,-1.555367
member,30440,0,0,1,0.283873,0.752862,0.752862,0.888547,4.160696,1.665857,-0.888547
member,36056,5,5,1,0.501980,0.605331,0.605331,1.016274,4.318237,0.713811,-1.016274
member,42651,7,7,1,0.189118,0.827689,0.827689,0.573577,5.322096,1.746049,-0.573577
member,36803,8,8,1,0.013638,0.986454,0.986454,0.085931,7.592963,4.667317,-0.085931
member,48224,1,1,1,0.313299,0.731032,0.731032,0.842887,4.109023,1.298321,-0.842887
member,29226,1,1,1,0.522541,0.593012,0.593012,1.144329,4.253111,0.889070,-1.144329
member,5633,4,0,0,2.051804,0.128503,0.202517,2.097152,0.455176,-0.454871,2.097152
member,5987,8,8,1,0.026763,0.973592,0.973592,0.134637,7.683687,3.716264,-0.134637
member,48063,3,3,1,0.225364,0.798225,0.798225,0.608106,7.128432,1.515897,-0.608106
member,1812,2,2,1,0.066240,0.935906,0.935906,0.345865,5.107603,3.610201,-0.345865
member,27578,2,8,0,1.998728,0.135508,0.216413,2.053393,0.603470,-0.468162,2.053393
member,16823,5,5,1,0.347627,0.706362,0.706362,0.937669,4.095203,1.351861,-0.937669
member,3928,9,9,1,0.542367,0.581371,0.581371,0.984660,5.587543,0.631408,-0.984660
member,37286,7,7,1,0.064134,0.937879,0.937879,0.288579,6.353242,3.085303,-0.288579
member,25045,7,7,1,0.068017,0.934244,0.934244,0.341810,5.573503,3.506270,-0.341810
member,15727,8,0,0,2.161866,0.115110,0.431435,1.798548,1.097656,-1.321227,1.798548
member,29600,8,1,0,1.082695,0.338681,0.468067,1.213054,3.447742,-0.323551,1.213054
member,10430,3,0,0,3.071442,0.046354,0.412122,1.712308,0.082904,-2.185007,1.712308
member,25768,4,2,0,0.955273,0.384707,0.440232,1.288469,2.794560,-0.134819,1.288469
member,29103,6,6,1,0.164771,0.848088,0.848088,0.532770,7.084816,2.011724,-0.532770
member,36537,1,1,1,0.156620,0.855029,0.855029,0.524951,7.382231,2.408258,-0.524951
member,39328,7,7,1,0.223888,0.799404,0.799404,0.676726,5.576039,1.702571,-0.676726
member,35539,8,8,1,0.807076,0.446161,0.446161,1.538669,2.598311,0.705283,-1.538669
member,28075,3,3,1,1.001643,0.367275,0.367275,1.719223,2.053275,0.415830,-1.719223
member,17840,7,3,0,4.330172,0.013165,0.595014,1.218874,-0.517668,-3.811002,1.218874
member,27802,1,1,1,0.319821,0.726279,0.726279,0.819909,6.280754,1.338752,-0.819909
member,7682,7,3,0,2.425805,0.088407,0.399258,1.387542,1.321782,-1.507656,1.387542
member,24279,6,6,1,0.198782,0.819728,0.819728,0.746159,4.438309,2.314259,-0.746159
member,33070,4,4,1,0.400834,0.669761,0.669761,1.015183,4.765580,1.224687,-1.015183
member,35557,3,6,0,0.889380,0.410910,0.552303,0.846378,5.965461,-0.295722,0.846378
member,37189,0,2,0,0.938992,0.391022,0.605885,0.692635,6.951210,-0.437927,0.692635
member,47149,4,4,1,0.130497,0.877659,0.877659,0.557230,5.212511,3.146361,-0.557230
member,46915,6,6,1,0.039676,0.961101,0.961101,0.225952,6.091892,4.383949,-0.225952
