split_name,index,true_label,pred_label,correct,loss,conf_true,conf_max,entropy,logit_true,logit_gap,m_entropy
member,33553,7,7,1,1.030630,0.356782,0.356782,1.584381,2.351138,0.284548,-1.584381
member,9427,8,8,1,0.000562,0.999438,0.999438,0.005901,8.905714,8.826067,-0.005901
member,199,0,0,1,0.770415,0.462821,0.462821,1.212396,2.831423,0.100668,-1.212396
member,12447,6,6,1,0.644311,0.525024,0.525024,1.308626,2.995287,0.593382,-1.308626
member,39489,1,1,1,0.256768,0.773548,0.773548,0.993569,3.194084,2.618042,-0.993569
member,42724,6,6,1,0.257455,0.773017,0.773017,0.994218,3.308524,2.466498,-0.994218
member,10822,8,8,1,0.185702,0.830521,0.830521,0.798306,3.540104,3.139367,-0.798306
member,49498,0,0,1,0.497594,0.607992,0.607992,1.295837,3.135666,1.436260,-1.295837
member,4144,6,6,1,0.306588,0.735954,0.735954,0.997823,3.725796,2.037591,-0.997823
member,36958,5,5,1,0.572167,0.564301,0.564301,1.371736,2.812059,1.219065,-1.371736
member,43106,2,2,1,0.302839,0.738718,0.738718,0.959020,3.555058,1.583656,-0.959020
member,38695,5,5,1,0.443825,0.641578,0.641578,1.259225,3.062640,1.448774,-1.259225
member,6188,0,0,1,0.414063,0.660959,0.660959,1.265765,3.023137,1.953415,-1.265765
member,1414,7,7,1,0.221756,0.801111,0.801111,0.636047,5.130965,1.600279,-0.636047
member,18471,1,1,1,0.079258,0.923802,0.923802,0.412643,4.438308,3.629649,-0.412643
member,29282,6,6,1,0.411747,0.662492,0.662492,1.032146,4.331070,1.369742,-1.032146
member,15177,5,3,0,1.284442,0.276805,0.300433,1.863870,1.591002,-0.081912,1.863870
member,34304,6,6,1,0.248255,0.780161,0.780161,0.763246,4.068174,1.568723,-0.763246
member,12609,6,6,1,0.880632,0.414521,0.414521,1.760163,2.078207,0.789511,-1.760163
member,12144,5,5,1,0.156748,0.854920,0.854920,0.538397,4.680096,1.988493,-0.538397
member,6113,0,0,1,0.185853,0.830395,0.830395,0.586431,5.193928,1.833308,-0.586431
member,15908,5,5,1,0.976190,0.376744,0.376744,1.818097,1.911914,0.530201,-1.818097
member,821,7,7,1,0.164286,0.848500,0.848500,0.736401,3.682375,3.126058,-0.736401
member,15118,2,2,1,0.082218,0.921071,0.921071,0.412028,4.876096,3.477847,-0.412028
member,13466,4,4,1,0.144863,0.865141,0.865141,0.594223,4.303150,2.411188,-0.594223
member,26497,4,4,1,0.059564,0.942175,0.942175,0.335726,4.671885,4.211065,-0.335726
member,42111,5,5,1,1.047390,0.350852,0.350852,1.606000,2.193274,0.106697,-1.606000
member,30188,5,3,0,1.515866,0.219618,0.688744,0.935828,2.824974,-1.142980,0.935828
member,37237,4,4,1,0.254017,0.775679,0.775679,0.966879,3.353679,2.558265,-0.966879
member,33109,8,8,1,0.017367,0.982783,0.982783,0.121808,5.780006,5.496219,-0.121808
member,36480,4,4,1,0.659957,0.516873,0.516873,1.573366,2.447999,1.160144,-1.573366
member,24148,3,3,1,0.075540,0.927243,0.927243,0.370551,5.059215,3.180332,-0.370551
member,5503,5,5,1,1.218173,0.295770,0.295770,2.031278,1.362680,0.661896,-2.031278
member,3918,0,0,1,0.136126,0.872732,0.872732,0.631870,3.923560,3.202250,-0.631870
member,38478,0,0,1,0.028621,0.971785,0.971785,0.176986,5.703080,4.512532,-0.176986
member,21123,8,8,1,0.132221,0.876147,0.876147,0.591231,4.128675,2.825865,-0.591231
member,49717,0,0,1,0.823262,0.438997,0.438997,1.690668,2.136684,0.893698,-1.690668
member,42294,1,1,1,0.098788,0.905935,0.905935,0.487939,4.287046,3.395092,-0.487939
member,47609,8,8,1,0.112116,0.893940,0.893940,0.548015,4.163794,3.640497,-0.548015
member,11076,0,0,1,1.364301,0.255559,0.255559,2.032803,1.232528,0.195611,-2.032803
member,41514,3,3,1,0.598133,0.549837,0.549837,1.434246,2.761569,1.023947,-1.434246
