split_name,index,true_label,pred_label,correct,loss,conf_true,conf_max,entropy,logit_true,logit_gap,m_entropy
member,33553,7,7,1,0.010720,0.989337,0.989337,0.064466,10.764774,4.685413,-0.064466
member,9427,8,8,1,-0.000000,1.000000,1.000000,0.000000,49.543854,40.859886,-0.000000
member,199,0,0,1,0.015541,0.984579,0.984579,0.090120,13.729186,4.695626,-0.090120
member,12447,6,6,1,0.003001,0.997003,0.997003,0.023256,21.706167,6.321301,-0.023256
member,39489,1,1,1,0.000122,0.999878,0.999878,0.001240,19.854984,9.029746,-0.001240
member,42724,6,6,1,0.000328,0.999672,0.999672,0.003199,15.551491,8.383690,-0.003199
member,10822,8,8,1,0.000002,0.999998,0.999998,0.000026,17.924408,13.389734,-0.000026
member,49498,0,0,1,0.002082,0.997920,0.997920,0.016076,20.378897,6.436897,-0.016076
member,4144,6,6,1,0.000051,0.999949,0.999949,0.000590,21.560383,10.213767,-0.000590
member,36958,5,5,1,0.000038,0.999962,0.999962,0.000433,19.657206,10.240317,-0.000433
member,43106,2,2,1,0.000280,0.999720,0.999720,0.002578,15.955736,8.185525,-0.002578
member,38695,5,5,1,0.052604,0.948756,0.948756,0.205355,12.286613,2.928763,-0.205355
member,6188,0,0,1,0.003792,0.996215,0.996215,0.024892,20.163460,5.573099,-0.024892
member,1414,7,7,1,0.505825,0.603008,0.603008,0.671854,18.862686,0.418032,-0.671854
member,18471,1,1,1,0.003773,0.996235,0.996235,0.024777,20.351706,5.578116,-0.024777
member,29282,6,6,1,0.000423,0.999578,0.999578,0.003934,21.902182,7.984360,-0.003934
member,15177,5,5,1,0.001999,0.998003,0.998003,0.017190,12.667875,7.340695,-0.017190
member,34304,6,6,1,0.000000,1.000000,1.000000,0.000008,29.616392,14.573647,-0.000008
member,12609,6,6,1,0.000352,0.999648,0.999648,0.003362,15.637482,8.149382,-0.003362
member,12144,5,5,1,0.000065,0.999935,0.999935,0.000699,20.265644,9.651983,-0.000699
member,6113,0,0,1,0.008372,0.991663,0.991663,0.048216,31.477461,4.778637,-0.048216
member,15908,5,5,1,0.027114,0.973251,0.973251,0.133149,17.698412,3.698725,-0.133149
member,821,7,7,1,0.000097,0.999903,0.999903,0.001099,16.049217,9.793213,-0.001099
member,15118,2,2,1,0.000127,0.999873,0.999873,0.001349,16.435791,9.306552,-0.001349
member,13466,4,4,1,0.011656,0.988411,0.988411,0.063208,22.789131,4.446312,-0.063208
member,26497,4,4,1,-0.000000,1.000000,1.000000,0.000000,23.023252,18.276834,-0.000000
member,42111,5,5,1,0.008258,0.991776,0.991776,0.050771,13.728803,4.897156,-0.050771
member,30188,5,5,1,0.000385,0.999615,0.999615,0.003410,26.967760,7.862581,-0.003410
member,37237,4,4,1,-0.000000,1.000000,1.000000,0.000001,20.451015,17.105940,-0.000001
member,33109,8,8,1,-0.000000,1.000000,1.000000,0.000000,32.482861,22.389418,-0.000000
member,36480,4,4,1,0.006590,0.993432,0.993432,0.045668,12.534528,5.365036,-0.045668
member,24148,3,3,1,0.000785,0.999215,0.999215,0.006399,20.943771,7.150046,-0.006399
member,5503,5,5,1,0.000522,0.999478,0.999478,0.004805,16.690300,7.779516,-0.004805
member,3918,0,0,1,0.002471,0.997532,0.997532,0.018791,24.182741,6.359419,-0.018791
member,38478,0,0,1,0.000000,1.000000,1.000000,0.000003,24.382551,15.457699,-0.000003
member,21123,8,8,1,0.000000,1.000000,1.000000,0.000003,37.682495,15.581730,-0.000003
member,49717,0,0,1,0.011449,0.988616,0.988616,0.063381,14.695658,4.483466,-0.063381
member,42294,1,1,1,0.000000,1.000000,1.000000,0.000004,24.503265,15.736576,-0.000004
member,47609,8,8,1,-0.000000,1.000000,1.000000,0.000000,36.430920,22.136040,-0.000000
member,11076,0,0,1,0.008157,0.991876,0.991876,0.059990,6.969651,5.868314,-0.059990
member,41514,3,3,1,0.017537,0.982616,0.982616,0.087949,15.763490,4.036546,-0.087949
member,22062,0,0,1,0.011343,0.988721,0.988721,0.061831,16.391220,4.473732,-0.061831
member,9413,0,0,1,0.000734,0.999266,0.999266,0.006077,15.511668,7.226154,-0.006077
member,38340,0,0,1,0.000152,0.999848,0.999848,0.001488,20.941263,8.793680,-0.001488
member,30263,9,9,1,-0.000000,1.000000,1.000000,0.000000,24.382620,22.619085,-0.000000
member,41252,4,4,1,0.003320,0.996686,0.996686,0.025608,17.110826,6.434486,-0.025608
member,14644,4,4,1,0.018621,0.981551,0.981551,0.093527,13.883307,3.988976,-0.093527
member,26335,6,6,1,0.000133,0.999867,0.999867,0.001399,18.476360,9.218419,-0.001399
member,28102,7,7,1,-0.000000,1.000000,1.000000,0.000001,26.772617,17.818329,-0.000001
member,17523,6,6,1,-0.000000,1.000000,1.000000,0.000001,28.664314,17.309597,-0.000001
member,24712,9,9,1,-0.000000,1.000000,1.000000,0.000000,28.312883,27.275700,-0.000000
member,40485,0,0,1,0.277566,0.757625,0.757625,0.553855,24.797611,1.139723,-0.553855
member,3850,9,9,1,0.000001,0.999999,0.999999,0.000016,16.492754,14.816432,-0.000016
member,40040,9,9,1,-0.000000,1.000000,1.000000,0.000000,57.318974,37.857300,-0.000000
member,15267,4,4,1,0.013408,0.986681,0.986681,0.076379,13.971159,4.463978,-0.076379
member,49146,3,3,1,0.009250,0.990793,0.990793,0.052687,17.379934,4.684685,-0.052687
member,30001,6,6,1,0.001209,0.998792,0.998792,0.010598,11.974524,7.485036,-0.010598
member,45926,2,2,1,0.010051,0.989999,0.989999,0.056995,11.730266,4.612487,-0.056995
member,43824,9,9,1,0.000005,0.999995,0.999995,0.000065,39.051716,12.219015,-0.000065
member,17240,9,9,1,0.000004,0.999996,0.999996,0.000051,30.170607,12.489031,-0.000051
member,4892,8,8,1,-0.000000,1.000000,1.000000,0.000000,33.937817,23.319164,-0.000000
member,725,4,4,1,0.004391,0.995619,0.995619,0.031877,12.208335,5.702508,-0.031877
member,22949,4,4,1,0.008337,0.991697,0.991697,0.055668,11.164758,5.255728,-0.055668
member,34657,8,8,1,0.000001,0.999999,0.999999,0.000017,29.048063,13.679399,-0.000017
member,37213,1,1,1,0.000334,0.999666,0.999666,0.003005,35.615452,8.004965,-0.003005
member,20304,1,1,1,0.000003,0.999997,0.999997,0.000037,40.785835,12.830513,-0.000037
member,15269,3,3,1,0.002039,0.997963,0.997963,0.016432,14.433871,6.588338,-0.016432
member,22367,9,9,1,-0.000000,1.000000,1.000000,0.000001,37.623108,17.131372,-0.000001
member,42684,1,1,1,0.000001,0.999999,0.999999,0.000009,25.329586,14.369436,-0.000009
member,46734,5,5,1,0.000059,0.999941,0.999941,0.000637,29.597818,9.731140,-0.000637
member,11732,0,0,1,0.000004,0.999996,0.999996,0.000063,20.323751,12.834206,-0.000063
member,18619,3,3,1,0.012600,0.987479,0.987479,0.068178,13.638069,4.379424,-0.068178
member,48492,0,0,1,0.000428,0.999572,0.999572,0.004026,13.211684,7.934976,-0.004026
member,26803,2,2,1,0.000362,0.999638,0.999638,0.003348,17.888283,8.026894,-0.003348
member,44305,2,2,1,0.000124,0.999876,0.999876,0.001264,18.670494,9.042095,-0.001264
member,47522,7,7,1,0.000017,0.999983,0.999983,0.000200,21.968605,11.010784,-0.000200
member,32207,8,8,1,0.000057,0.999943,0.999943,0.000695,13.608783,10.912330,-0.000695
member,2530,3,3,1,0.005060,0.994953,0.994953,0.032454,16.348429,5.315282,-0.032454
member,17746,1,1,1,0.000988,0.999012,0.999012,0.007821,43.750374,6.919323,-0.007821
member,8270,8,8,1,0.000000,1.000000,1.000000,0.000002,20.699429,16.158768,-0.000002
member,15079,7,7,1,0.000514,0.999486,0.999486,0.004657,13.952534,7.709983,-0.004657
member,13624,5,5,1,0.023442,0.976831,0.976831,0.123150,15.362244,3.973706,-0.123150
member,30638,4,4,1,0.000619,0.999381,0.999381,0.006006,11.870397,8.300509,-0.006006
member,30440,0,0,1,0.000048,0.999952,0.999952,0.000559,17.950212,10.357210,-0.000559
member,36056,5,5,1,0.011995,0.988076,0.988076,0.072969,14.484577,5.057624,-0.072969
member,42651,7,7,1,0.000053,0.999947,0.999947,0.000575,29.287058,9.844172,-0.000575
member,36803,8,8,1,0.000001,0.999999,0.999999,0.000012,29.327934,14.287445,-0.000012
member,48224,1,1,1,0.000012,0.999988,0.999988,0.000150,17.204292,11.462128,-0.000150
member,29226,1,1,1,0.002256,0.997747,0.997747,0.018351,16.033537,6.775990,-0.018351
member,5633,4,4,1,0.004306,0.995703,0.995703,0.031376,9.245454,5.726509,-0.031376
member,5987,8,8,1,-0.000000,1.000000,1.000000,0.000000,30.626194,23.587078,-0.000000
member,48063,3,3,1,-0.000000,1.000000,1.000000,0.000000,32.208920,21.815758,-0.000000
member,1812,2,2,1,0.000001,0.999999,0.999999,0.000021,23.285826,13.448476,-0.000021
member,27578,2,2,1,0.003729,0.996278,0.996278,0.025944,12.915632,5.706071,-0.025944
member,16823,5,5,1,0.000158,0.999842,0.999842,0.001542,18.041742,8.759739,-0.001542
member,3928,9,9,1,0.000157,0.999843,0.999843,0.001530,28.986872,8.760868,-0.001530
member,37286,7,7,1,0.000002,0.999998,0.999998,0.000023,23.877029,13.374728,-0.000023
member,25045,7,7,1,0.000145,0.999855,0.999855,0.001496,24.297209,9.032321,-0.001496
member,15727,8,8,1,0.000589,0.999411,0.999411,0.005389,12.629173,7.684126,-0.005389
member,29600,8,8,1,0.095639,0.908792,0.908792,0.305460,20.744959,2.299120,-0.305460
member,10430,3,3,1,0.000747,0.999253,0.999253,0.006921,14.629163,7.760744,-0.006921
member,25768,4,4,1,0.000217,0.999783,0.999783,0.002047,21.512012,8.436759,-0.002047
member,29103,6,6,1,0.000003,0.999997,0.999997,0.000040,31.506332,12.762222,-0.000040
member,36537,1,1,1,0.000823,0.999177,0.999177,0.006667,22.875040,7.102158,-0.006667
member,39328,7,7,1,0.003617,0.996389,0.996389,0.023910,31.488409,5.620270,-0.023910
member,35539,8,8,1,0.024340,0.975954,0.975954,0.135150,10.654348,4.128773,-0.135150
member,28075,3,3,1,0.030791,0.969679,0.969679,0.163072,11.004046,3.903536,-0.163072
member,17840,7,7,1,0.188957,0.827822,0.827822,0.588080,9.647223,2.083753,-0.588080
member,27802,1,1,1,0.000296,0.999704,0.999704,0.002697,29.533239,8.126421,-0.002697
member,7682,7,7,1,0.000039,0.999961,0.999961,0.000470,16.526037,10.621693,-0.000470
member,24279,6,6,1,0.000015,0.999985,0.999985,0.000178,21.062929,11.157138,-0.000178
member,33070,4,4,1,0.000016,0.999984,0.999984,0.000201,24.605988,11.422464,-0.000201
member,35557,3,3,1,0.000224,0.999776,0.999776,0.002286,16.948681,8.656751,-0.002286
member,37189,0,0,1,0.000240,0.999760,0.999760,0.002240,34.403046,8.334558,-0.002240
member,47149,4,4,1,0.000003,0.999997,0.999997,0.000049,17.369860,12.870041,-0.000049
member,46915,6,6,1,-0.000000,1.000000,1.000000,0.000000,27.270088,18.225729,-0.000000
member,9801,0,0,1,0.000129,0.999871,0.999871,0.001289,18.104530,8.955585,-0.001289
member,38800,8,8,1,0.000000,1.000000,1.000000,0.000001,28.623322,16.688360,-0.000001
member,24669,3,3,1,0.377608,0.685499,0.685499,0.690130,14.182061,0.835855,-0.690130
member,44233,3,3,1,0.167097,0.846117,0.846117,0.444209,15.208829,1.723307,-0.444209
member,31919,8,8,1,0.000293,0.999707,0.999707,0.002887,18.439692,8.698959,-0.002887
member,7134,9,9,1,-0.000000,1.000000,1.000000,0.000000,45.308357,29.876549,-0.000000
member,33704,6,6,1,0.008343,0.991691,0.991691,0.053796,16.937319,5.348041,-0.053796
member,29660,5,5,1,0.000004,0.999996,0.999996,0.000058,19.764984,12.425417,-0.000058
member,17893,1,1,1,0.000000,1.000000,1.000000,0.000004,34.436222,15.256784,-0.000004
member,22018,4,4,1,0.010298,0.989754,0.989754,0.058743,13.525330,4.601544,-0.058743
member,13538,9,9,1,0.000002,0.999998,0.999998,0.000034,21.310129,13.258771,-0.000034
member,43118,2,2,1,0.002385,0.997618,0.997618,0.017964,12.709844,6.184798,-0.017964
member,36420,4,4,1,0.000517,0.999483,0.999483,0.004977,12.627399,8.244593,-0.004977
member,9405,3,3,1,0.042126,0.958749,0.958749,0.177733,11.205912,3.172731,-0.177733
member,13413,2,2,1,0.000757,0.999243,0.999243,0.006710,11.379122,7.412085,-0.006710
member,6720,4,4,1,0.469295,0.625443,0.625443,0.718182,12.837196,0.544270,-0.718182
member,15601,1,1,1,0.000124,0.999876,0.999876,0.001243,21.244486,8.998647,-0.001243
member,44743,0,0,1,0.004518,0.995492,0.995492,0.028849,28.004669,5.397429,-0.028849
member,31138,1,1,1,0.013878,0.986218,0.986218,0.082190,19.692190,4.851198,-0.082190
member,2729,6,6,1,0.000000,1.000000,1.000000,0.000002,34.096786,15.832718,-0.000002
member,38242,4,4,1,0.000223,0.999777,0.999777,0.002349,17.162800,9.097239,-0.002349
member,29625,2,2,1,0.000000,1.000000,1.000000,0.000008,18.118490,14.590261,-0.000008
member,47894,8,8,1,0.001478,0.998523,0.998523,0.012914,11.680614,7.188617,-0.012914
member,42090,2,2,1,0.377812,0.685359,0.685359,0.627870,14.257520,0.780623,-0.627870
member,36399,7,7,1,0.000003,0.999997,0.999997,0.000044,28.327847,12.829563,-0.000044
member,6244,1,1,1,0.000002,0.999998,0.999998,0.000029,31.637226,13.333260,-0.000029
member,5545,3,3,1,0.388018,0.678400,0.678400,0.632389,16.776958,0.748114,-0.632389
member,4064,6,6,1,0.004962,0.995050,0.995050,0.031647,15.919392,5.320490,-0.031647
member,12851,5,5,1,0.000159,0.999841,0.999841,0.001550,29.487755,8.746611,-0.001550
member,21802,8,8,1,0.000000,1.000000,1.000000,0.000002,28.822145,16.130459,-0.000002
member,41163,8,8,1,0.000032,0.999968,0.999968,0.000366,31.405632,10.340725,-0.000366
member,6232,5,5,1,0.000125,0.999875,0.999875,0.001302,13.665693,9.094191,-0.001302
