true_member,predicted_member,attack_score,true_class
1,1,0.588058,7
1,1,0.571878,8
1,1,0.546513,0
1,1,0.545158,6
1,0,0.472796,1
1,1,0.560964,6
1,1,0.571285,8
1,0,0.249430,0
1,1,0.555383,6
1,0,0.464318,5
1,1,0.597876,2
1,1,0.590769,5
1,1,0.549759,0
1,1,0.548141,7
1,0,0.393212,1
1,1,0.558721,6
1,0,0.325238,5
1,1,0.547103,6
1,1,0.529575,6
1,1,0.612316,5
1,0,0.402070,0
1,1,0.522412,5
1,1,0.595550,7
1,1,0.575882,2
1,1,0.555463,4
1,1,0.615300,4
1,0,0.292209,5
1,0,0.413004,5
1,1,0.621986,4
1,1,0.571247,8
1,0,0.479739,4
1,1,0.680601,3
1,1,0.529822,5
1,1,0.566126,0
1,1,0.582422,0
1,1,0.554742,8
1,0,0.164435,0
1,1,0.563568,1
1,1,0.564823,8
1,1,0.550750,0
1,1,0.505178,3
1,1,0.536605,0
1,1,0.536435,0
1,1,0.549976,0
1,1,0.554227,9
1,0,0.202564,4
1,0,0.257942,4
1,1,0.560487,6
1,1,0.589345,7
1,1,0.547973,6
1,1,0.561522,9
1,1,0.570641,0
1,1,0.561326,9
1,1,0.561624,9
1,1,0.547836,4
1,0,0.182280,3
1,0,0.481167,6
1,1,0.661428,2
1,0,0.078662,9
1,1,0.532619,9
1,1,0.569370,8
1,0,0.253329,4
1,0,0.454907,4
1,1,0.566175,8
1,1,0.544823,1
1,1,0.561112,1
1,1,0.675063,3
1,1,0.527909,9
1,1,0.531641,1
1,1,0.621524,5
1,1,0.536844,0
1,1,0.548882,3
1,1,0.526490,0
1,1,0.546084,2
1,1,0.650481,2
1,1,0.543095,7
1,1,0.576000,8
1,1,0.633581,3
1,0,0.492245,1
1,0,0.491278,8
1,1,0.607778,7
1,0,0.273077,5
1,1,0.556397,4
1,1,0.607843,0
1,1,0.632632,5
1,1,0.558842,7
1,1,0.570014,8
1,1,0.555950,1
1,0,0.429687,1
1,0,0.386283,4
1,1,0.571569,8
1,1,0.682645,3
1,1,0.619559,2
1,1,0.501435,2
1,1,0.620440,5
1,1,0.561036,9
1,1,0.572451,7
1,1,0.572253,7
1,0,0.461426,8
1,0,0.252684,8
1,0,0.131856,3
1,1,0.500097,4
1,1,0.547413,6
1,1,0.561887,1
1,1,0.566292,7
1,1,0.576503,8
1,1,0.511231,3
1,0,0.418699,7
1,1,0.560398,1
1,1,0.580097,7
1,1,0.553942,6
1,1,0.536369,4
1,1,0.572483,3
1,1,0.529385,0
1,1,0.614699,4
1,1,0.549896,6
1,0,0.463946,0
1,1,0.571081,8
1,0,0.497222,3
1,1,0.505317,3
1,1,0.506867,8
1,1,0.561614,9
1,1,0.552620,6
1,1,0.625668,5
1,1,0.548307,1
1,1,0.519248,4
1,1,0.530226,9
1,1,0.558388,2
1,1,0.613207,4
1,0,0.304726,3
1,1,0.587583,2
1,0,0.417835,4
1,1,0.562582,1
1,1,0.567379,0
1,1,0.554856,1
1,1,0.547970,6
1,0,0.488917,4
1,1,0.596433,2
1,0,0.343112,8
1,0,0.425832,2
1,1,0.572521,7
1,1,0.563956,1
1,0,0.271851,3
1,0,0.322087,6
1,1,0.635665,5
1,1,0.565432,8
1,1,0.570261,8
1,0,0.384984,5
1,0,0.413366,4
1,0,0.392661,6
1,1,0.625314,4
1,0,0.461215,1
1,1,0.626999,3
1,1,0.573192,7
1,1,0.553032,1
1,1,0.580586,7
1,1,0.571703,8
1,1,0.573468,7
1,0,0.362202,1
1,1,0.556463,1
1,0,0.438363,2
1,0,0.301194,5
1,1,0.529809,9
1,1,0.543989,1
1,1,0.546639,9
1,1,0.618850,2
1,1,0.509058,4
1,0,0.478052,5
1,1,0.597624,5
1,0,0.462650,2
1,1,0.600571,2
1,0,0.480498,3
1,0,0.316844,6
1,0,0.469114,3
1,1,0.557528,5
1,0,0.379800,6
1,1,0.635916,5
1,1,0.569827,8
1,0,0.391193,4
1,0,0.437779,8
1,1,0.630243,5
1,1,0.588673,7
1,0,0.400400,3
1,0,0.308802,9
1,1,0.622324,2
1,0,0.206224,1
1,1,0.571343,8
1,1,0.554915,6
1,0,0.279064,5
1,1,0.572362,7
1,1,0.591354,2
1,1,0.635607,5
1,1,0.509857,1
1,1,0.632952,3
1,0,0.484557,9
1,1,0.593298,4
1,1,0.572789,0
1,1,0.500178,8
1,0,0.362564,1
1,1,0.559052,1
1,0,0.455413,5
1,1,0.566290,1
1,1,0.590502,0
1,1,0.521518,9
1,1,0.546235,0
1,0,0.171992,4
1,1,0.545991,3
1,0,0.123227,5
1,1,0.624251,4
1,1,0.556847,6
1,0,0.431873,5
1,1,0.552566,9
1,1,0.591063,5
1,1,0.574953,8
1,1,0.565588,1
1,1,0.568742,0
1,1,0.583336,0
1,0,0.497141,2
1,1,0.556697,2
1,1,0.560471,1
1,1,0.579525,8
1,0,0.470418,5
1,1,0.547848,6
1,1,0.544191,0
1,1,0.571777,8
1,1,0.573846,2
1,1,0.525255,9
1,1,0.560266,9
1,0,0.337645,4
1,1,0.549527,6
1,1,0.519989,9
1,1,0.504932,4
1,1,0.585810,7
1,0,0.269810,4
1,1,0.613328,5
1,1,0.576975,7
1,1,0.624414,3
1,1,0.546508,6
1,1,0.597626,4
1,1,0.572953,7
1,1,0.505269,2
1,1,0.555501,6
1,0,0.234196,4
1,1,0.625424,5
1,1,0.561092,9
1,1,0.564682,7
1,1,0.573024,7
1,1,0.531641,3
1,1,0.525800,0
1,1,0.569320,7
1,1,0.572115,2
1,1,0.572407,7
1,1,0.623207,7
1,1,0.600114,4
1,1,0.510985,9
1,1,0.556937,4
1,1,0.569253,8
1,1,0.561655,1
1,0,0.451673,4
1,0,0.444831,1
1,1,0.590894,4
1,1,0.574701,7
1,0,0.400955,5
1,1,0.551144,6
1,1,0.549037,6
1,1,0.566145,0
1,1,0.630807,5
1,0,0.221783,9
1,1,0.561549,1
1,1,0.526309,9
1,1,0.503580,8
1,1,0.594628,2
1,1,0.539328,1
1,1,0.533615,5
1,1,0.542679,9
1,1,0.596056,4
1,1,0.600414,4
1,0,0.385198,4
1,1,0.573454,7
1,1,0.559328,9
1,1,0.560910,9
1,1,0.632793,0
1,1,0.599723,3
1,1,0.680092,2
1,1,0.573707,7
1,1,0.564507,8
1,1,0.531503,4
1,1,0.553170,9
1,1,0.534864,1
1,1,0.556366,2
1,1,0.572186,2
1,1,0.580869,7
1,1,0.565039,1
1,0,0.336190,3
1,1,0.566024,9
1,1,0.581472,7
1,1,0.623974,5
1,1,0.546304,6
1,1,0.555270,9
1,1,0.563024,5
1,1,0.551610,6
1,1,0.563752,3
1,1,0.613093,4
1,0,0.476196,8
1,1,0.572714,7
1,0,0.465224,3
1,1,0.530909,1
1,1,0.521932,8
1,1,0.577038,7
1,1,0.552631,6
1,1,0.559823,9
1,1,0.596275,0
1,1,0.573161,7
1,0,0.155870,4
1,0,0.203365,4
1,0,0.259376,9
1,1,0.574199,7
1,1,0.584265,3
1,1,0.564258,7
1,1,0.564101,1
1,1,0.543067,9
1,0,0.172771,3
1,1,0.612590,5
1,1,0.560390,9
1,1,0.516204,2
1,1,0.500210,3
1,1,0.501979,8
1,0,0.433366,3
1,1,0.673233,3
1,0,0.060691,3
1,1,0.512193,9
1,1,0.560240,9
1,1,0.547242,6
1,0,0.175255,8
1,1,0.546823,8
1,1,0.578102,2
1,1,0.509664,0
1,0,0.461553,4
1,0,0.405632,2
1,1,0.560410,9
1,1,0.566340,1
1,1,0.637495,5
1,0,0.179785,3
1,0,0.128959,0
1,1,0.594167,4
1,1,0.609971,2
1,1,0.569754,7
1,0,0.286446,0
1,0,0.444815,5
1,1,0.502570,9
1,1,0.555663,8
1,0,0.053264,6
1,0,0.493915,2
1,0,0.470699,1
1,0,0.136123,6
1,0,0.441506,6
1,1,0.526859,7
1,0,0.401421,2
1,0,0.296839,0
1,1,0.564856,2
1,0,0.237629,0
1,1,0.560779,9
1,1,0.554844,6
1,1,0.598096,3
1,1,0.546156,1
1,1,0.559166,1
1,1,0.571971,7
1,1,0.585273,3
1,0,0.483887,7
1,1,0.572040,0
1,1,0.573472,7
1,1,0.561743,8
1,0,0.335454,7
1,1,0.596235,2
1,1,0.566696,8
1,1,0.543210,6
1,1,0.568752,8
1,1,0.554378,6
1,1,0.547235,1
1,1,0.634139,5
