epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc
1,2.299873,0.128333,0.152667,0.158000,0.158000
2,2.250118,0.153833,0.216833,0.214000,0.214000
3,2.093607,0.218667,0.286667,0.302333,0.302333
4,1.943212,0.284667,0.334167,0.324000,0.324000
5,1.843836,0.326000,0.376833,0.359667,0.359667
6,1.782615,0.347333,0.407000,0.390333,0.390333
7,1.732509,0.357333,0.390833,0.383000,0.390333
8,1.663959,0.382000,0.432333,0.421333,0.421333
9,1.616990,0.390833,0.447333,0.436667,0.436667
10,1.575880,0.417833,0.472167,0.464000,0.464000
11,1.504612,0.440500,0.465000,0.449667,0.464000
12,1.472847,0.459500,0.494833,0.473333,0.473333
13,1.444734,0.467167,0.510000,0.489000,0.489000
14,1.420286,0.478667,0.526833,0.491667,0.491667
15,1.381981,0.491833,0.555333,0.527333,0.527333
16,1.337577,0.512667,0.547000,0.522667,0.527333
17,1.349101,0.509667,0.569000,0.537000,0.537000
18,1.280617,0.530833,0.587667,0.537000,0.537000
19,1.259151,0.543833,0.584500,0.549333,0.549333
20,1.239786,0.555833,0.592500,0.554667,0.554667
21,1.210163,0.561500,0.613667,0.569000,0.569000
22,1.175072,0.565833,0.629333,0.591333,0.591333
23,1.146347,0.590333,0.627667,0.582000,0.591333
24,1.148862,0.586833,0.642500,0.582667,0.591333
25,1.101663,0.598333,0.651333,0.587667,0.591333
26,1.068952,0.614500,0.660000,0.605000,0.605000
27,1.026847,0.626667,0.675667,0.608333,0.608333
28,1.014848,0.641000,0.716833,0.637000,0.637000
29,1.004555,0.635833,0.687667,0.609667,0.637000
30,0.985218,0.644500,0.710000,0.625667,0.637000
31,0.942020,0.666500,0.729833,0.636667,0.637000
32,0.953501,0.658167,0.726167,0.629667,0.637000
33,0.917448,0.677667,0.749000,0.649667,0.649667
34,0.883334,0.682500,0.734667,0.645333,0.649667
35,0.858853,0.686000,0.750333,0.640667,0.649667
36,0.866208,0.691167,0.748333,0.644000,0.649667
37,0.850049,0.696000,0.762000,0.640000,0.649667
38,0.846594,0.692333,0.764667,0.647667,0.649667
