epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc,overfit_gap
1,21.496152,0.129000,0.203000,0.209000,0.209000,-0.006000
2,19.014804,0.224000,0.253667,0.240333,0.240333,0.013333
3,17.912976,0.249833,0.257333,0.253333,0.253333,0.004000
4,15.974223,0.300667,0.378167,0.372667,0.372667,0.005500
5,14.192682,0.361333,0.413833,0.403333,0.403333,0.010500
6,13.058373,0.395833,0.464667,0.456667,0.456667,0.008000
7,12.126583,0.435000,0.490333,0.472333,0.472333,0.018000
8,11.432322,0.452000,0.528833,0.503000,0.503000,0.025833
9,10.770800,0.480833,0.545833,0.510667,0.510667,0.035167
10,9.672832,0.513333,0.576333,0.539333,0.539333,0.037000
11,9.164116,0.536500,0.588833,0.553667,0.553667,0.035167
12,8.590790,0.556833,0.604667,0.567333,0.567333,0.037333
13,7.841648,0.582667,0.641000,0.605000,0.605000,0.036000
14,7.232008,0.608167,0.661500,0.613333,0.613333,0.048167
15,6.888599,0.633167,0.671000,0.602667,0.613333,0.068333
16,6.707965,0.628667,0.670333,0.618000,0.618000,0.052333
17,6.346067,0.644333,0.678000,0.604667,0.618000,0.073333
18,6.007668,0.658500,0.719000,0.645333,0.645333,0.073667
19,5.551124,0.678000,0.713333,0.629000,0.645333,0.084333
20,5.577524,0.675333,0.749000,0.661000,0.661000,0.088000
21,5.031073,0.699167,0.773500,0.673667,0.673667,0.099833
22,4.886943,0.707500,0.777833,0.671667,0.673667,0.106167
23,4.584081,0.731333,0.766167,0.667333,0.673667,0.098833
24,4.700865,0.717833,0.775667,0.664000,0.673667,0.111667
25,4.585464,0.733167,0.814000,0.692000,0.692000,0.122000
26,4.346616,0.741500,0.812333,0.679000,0.692000,0.133333
27,4.077846,0.748333,0.814833,0.689667,0.692000,0.125167
28,3.818762,0.765667,0.826167,0.691667,0.692000,0.134500
29,3.725822,0.772000,0.845333,0.703000,0.703000,0.142333
30,3.572580,0.783333,0.851500,0.702333,0.703000,0.149167
31,3.466944,0.788500,0.856333,0.700667,0.703000,0.155667
32,3.476368,0.791667,0.846833,0.694000,0.703000,0.152833
33,3.477505,0.791333,0.851000,0.687667,0.703000,0.163333
34,3.215528,0.809167,0.870833,0.705333,0.705333,0.165500
35,3.148858,0.817167,0.873833,0.701333,0.705333,0.172500
36,2.986674,0.822000,0.881167,0.708333,0.708333,0.172833
37,3.022540,0.816667,0.879333,0.700667,0.708333,0.178667
38,2.850765,0.831000,0.899667,0.717667,0.717667,0.182000
39,2.738503,0.836167,0.898333,0.713333,0.717667,0.185000
40,2.713319,0.844167,0.886833,0.693000,0.717667,0.193833
41,2.420359,0.852833,0.921167,0.724000,0.724000,0.197167
42,2.275210,0.874833,0.922000,0.729667,0.729667,0.192333
