epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc,epsilon_spent
1,2.303217,0.097115,0.108000,0.101333,0.101333,0.8818
2,2.302338,0.131865,0.136333,0.136667,0.136667,1.1967
3,2.300733,0.145851,0.142333,0.152000,0.152000,1.4473
4,2.299310,0.144646,0.152500,0.156667,0.156667,1.6641
5,2.298623,0.142145,0.155833,0.162333,0.162333,1.8591
6,2.296737,0.143882,0.158000,0.163667,0.163667,2.0385
7,2.293610,0.149395,0.159167,0.168000,0.168000,2.2061
8,2.290963,0.147446,0.166000,0.174000,0.174000,2.3642
9,2.285958,0.157886,0.171667,0.175667,0.175667,2.5145
10,2.278552,0.151361,0.182500,0.193000,0.193000,2.6583
11,2.273685,0.162910,0.187667,0.198000,0.198000,2.7965
12,2.264077,0.160492,0.196667,0.196000,0.198000,2.9298
13,2.250456,0.170357,0.196000,0.200333,0.200333,3.0588
14,2.237127,0.179953,0.195333,0.200667,0.200667,3.1841
15,2.228178,0.168098,0.208167,0.217000,0.217000,3.3059
16,2.208997,0.200296,0.220000,0.228000,0.228000,3.4247
17,2.198677,0.200693,0.215500,0.226333,0.228000,3.5406
18,2.189984,0.200711,0.222000,0.225667,0.228000,3.6540
19,2.190789,0.201553,0.227000,0.237333,0.237333,3.7650
20,2.184858,0.214695,0.225000,0.231667,0.237333,3.8739
21,2.175525,0.203407,0.223833,0.232667,0.237333,3.9807
22,2.173341,0.210367,0.232000,0.234333,0.237333,4.0857
23,2.172616,0.217815,0.233333,0.238333,0.238333,4.1889
24,2.157647,0.223392,0.237833,0.241333,0.241333,4.2904
25,2.147108,0.221532,0.236000,0.242000,0.242000,4.3905
26,2.154137,0.223264,0.239500,0.244000,0.244000,4.4890
27,2.132574,0.235754,0.241667,0.248000,0.248000,4.5862
28,2.151653,0.229370,0.241167,0.245000,0.248000,4.6821
29,2.145169,0.233779,0.244833,0.252333,0.252333,4.7768
30,2.143693,0.234626,0.243833,0.244333,0.252333,4.8703
31,2.122295,0.245637,0.243833,0.250667,0.252333,4.9626
32,2.121302,0.249089,0.246833,0.252333,0.252333,5.0540
33,2.132131,0.228304,0.254500,0.256000,0.256000,5.1443
34,2.127007,0.234677,0.258000,0.259333,0.259333,5.2336
35,2.117594,0.250294,0.251000,0.254333,0.259333,5.3221
36,2.103527,0.240976,0.254000,0.259000,0.259333,5.4096
37,2.110143,0.235849,0.263000,0.266667,0.266667,5.4963
38,2.096971,0.240853,0.262833,0.266667,0.266667,5.5821
39,2.096376,0.243030,0.258500,0.262000,0.266667,5.6672
40,2.100340,0.240202,0.267333,0.276667,0.276667,5.7515
41,2.064893,0.256720,0.271167,0.277000,0.277000,5.8351
42,2.067464,0.252977,0.274833,0.283000,0.283000,5.9180
43,2.072050,0.256837,0.274167,0.281667,0.283000,6.0003
44,2.054161,0.249412,0.270667,0.275333,0.283000,6.0818
45,2.045866,0.257888,0.275333,0.283000,0.283000,6.1628
46,2.063976,0.257463,0.282833,0.290000,0.290000,6.2431
47,2.050373,0.262827,0.281167,0.290000,0.290000,6.3228
48,2.049848,0.253744,0.277000,0.287000,0.290000,6.4020
49,2.058854,0.261648,0.279500,0.289667,0.290000,6.4806
50,2.042687,0.274405,0.289667,0.292333,0.292333,6.5586
51,2.038344,0.264746,0.287333,0.297333,0.297333,6.6361
52,2.031280,0.265860,0.287000,0.293333,0.297333,6.7132
53,2.014886,0.273025,0.294833,0.297667,0.297667,6.7897
54,2.023310,0.278357,0.293000,0.300000,0.300000,6.8657
55,2.017122,0.276118,0.291000,0.302333,0.302333,6.9413
56,2.031055,0.268140,0.293167,0.304333,0.304333,7.0164
57,2.003571,0.286323,0.295500,0.308667,0.308667,7.0911
58,2.008086,0.281869,0.298667,0.303333,0.308667,7.1654
59,2.008199,0.281489,0.302167,0.314000,0.314000,7.2392
60,2.010907,0.282889,0.303667,0.319333,0.319333,7.3126
61,2.011743,0.285280,0.303000,0.317000,0.319333,7.3856
62,1.970112,0.296511,0.304000,0.317667,0.319333,7.4583
63,2.006770,0.285004,0.302000,0.311333,0.319333,7.5305
64,1.982287,0.286436,0.302333,0.314000,0.319333,7.6024
65,2.007001,0.274841,0.304333,0.317333,0.319333,7.6739
66,2.000604,0.281809,0.300500,0.313667,0.319333,7.7450
67,1.990379,0.292618,0.310500,0.323333,0.323333,7.8158
68,2.001012,0.288164,0.306333,0.318000,0.323333,7.8863
69,1.995783,0.291072,0.301833,0.311000,0.323333,7.9564
70,2.000642,0.279934,0.312000,0.320000,0.323333,8.0262
71,2.006355,0.295607,0.309500,0.321000,0.323333,8.0957
72,2.007194,0.286835,0.304167,0.313000,0.323333,8.1649
73,1.981198,0.301944,0.310667,0.316000,0.323333,8.2337
74,1.959183,0.292958,0.310000,0.320667,0.323333,8.3023
75,1.974584,0.299189,0.310667,0.319667,0.323333,8.3706
76,1.978396,0.299296,0.308833,0.316333,0.323333,8.4385
77,1.995092,0.289390,0.314333,0.322667,0.323333,8.5062
78,2.002786,0.287940,0.311167,0.316333,0.323333,8.5737
79,1.987287,0.295210,0.307833,0.312000,0.323333,8.6408
80,1.999237,0.290106,0.310667,0.317000,0.323333,8.7077
81,1.980311,0.294369,0.312500,0.318333,0.323333,8.7743
82,2.002883,0.287958,0.312833,0.320000,0.323333,8.8407
83,1.981132,0.298959,0.318667,0.324667,0.324667,8.9068
84,1.985943,0.291990,0.311000,0.319667,0.324667,8.9726
85,1.962203,0.302534,0.313000,0.323000,0.324667,9.0383
86,1.977155,0.296984,0.314500,0.316667,0.324667,9.1036
87,1.976746,0.296240,0.316500,0.317667,0.324667,9.1688
88,1.993123,0.298119,0.315167,0.321667,0.324667,9.2337
89,1.969216,0.298298,0.315167,0.319333,0.324667,9.2984
90,1.967960,0.301600,0.317167,0.323333,0.324667,9.3628
91,1.961218,0.304695,0.317500,0.323333,0.324667,9.4271
92,1.942055,0.315553,0.317833,0.326667,0.326667,9.4911
93,1.971635,0.298675,0.316500,0.321333,0.326667,9.5549
94,1.967785,0.301572,0.318000,0.322667,0.326667,9.6185
95,1.971445,0.309054,0.325833,0.328000,0.328000,9.6819
96,1.963879,0.304189,0.319833,0.316000,0.328000,9.7451
97,1.975797,0.308374,0.321167,0.321667,0.328000,9.8081
98,1.955359,0.317344,0.321667,0.323000,0.328000,9.8708
99,1.995852,0.296147,0.323333,0.322667,0.328000,9.9334
100,1.962424,0.307680,0.321667,0.324667,0.328000,9.9958
