epoch,train_loss,train_acc,member_eval_acc,holdout_acc,best_acc,overfit_gap
1,2.300783,0.118667,0.153167,0.160667,0.160667,-0.007500
2,2.275332,0.142833,0.200833,0.200667,0.200667,0.000167
3,2.179950,0.195500,0.272333,0.290000,0.290000,-0.017667
4,2.087810,0.246500,0.278000,0.285667,0.290000,-0.007667
5,2.032569,0.275833,0.303833,0.300333,0.300333,0.003500
6,1.976941,0.302000,0.357000,0.364333,0.364333,-0.007333
7,1.930934,0.328000,0.397833,0.392333,0.392333,0.005500
8,1.892435,0.338833,0.405833,0.401000,0.401000,0.004833
9,1.860350,0.361500,0.423000,0.411667,0.411667,0.011333
10,1.825213,0.372500,0.438167,0.424000,0.424000,0.014167
11,1.811872,0.384500,0.432667,0.418000,0.424000,0.014667
12,1.769255,0.411667,0.468833,0.452333,0.452333,0.016500
13,1.739852,0.426000,0.475000,0.454000,0.454000,0.021000
14,1.714980,0.437000,0.496500,0.474000,0.474000,0.022500
15,1.694153,0.438500,0.491333,0.468333,0.474000,0.023000
16,1.678185,0.454333,0.522500,0.489000,0.489000,0.033500
17,1.675237,0.451500,0.526500,0.497000,0.497000,0.029500
18,1.646691,0.464500,0.541000,0.512333,0.512333,0.028667
19,1.650089,0.467500,0.555833,0.519667,0.519667,0.036167
20,1.614239,0.484667,0.557333,0.520667,0.520667,0.036667
21,1.600355,0.488667,0.565333,0.516000,0.520667,0.049333
22,1.597330,0.499667,0.559833,0.518000,0.520667,0.041833
23,1.588339,0.495167,0.564000,0.529667,0.529667,0.034333
24,1.564556,0.518000,0.588167,0.549667,0.549667,0.038500
25,1.570294,0.512500,0.588500,0.558000,0.558000,0.030500
26,1.529046,0.538500,0.604833,0.578333,0.578333,0.026500
27,1.513158,0.538333,0.588667,0.549667,0.578333,0.039000
28,1.511117,0.538667,0.602333,0.578667,0.578667,0.023667
29,1.509166,0.538167,0.611667,0.571000,0.578667,0.040667
30,1.485565,0.556333,0.621333,0.594333,0.594333,0.027000
31,1.474113,0.558000,0.629167,0.596333,0.596333,0.032833
32,1.459740,0.569333,0.615833,0.569333,0.596333,0.046500
33,1.473097,0.551000,0.640833,0.595667,0.596333,0.045167
34,1.443643,0.576000,0.647000,0.609667,0.609667,0.037333
35,1.438464,0.577167,0.660667,0.620000,0.620000,0.040667
36,1.408733,0.591833,0.670167,0.616333,0.620000,0.053833
37,1.410033,0.592333,0.685667,0.630667,0.630667,0.055000
38,1.390659,0.602167,0.668667,0.618667,0.630667,0.050000
39,1.385953,0.607333,0.673833,0.622000,0.630667,0.051833
40,1.372258,0.613333,0.681333,0.637667,0.637667,0.043667
41,1.349083,0.622667,0.708167,0.653333,0.653333,0.054833
42,1.321192,0.640500,0.695333,0.635667,0.653333,0.059667
43,1.311865,0.647500,0.707667,0.658000,0.658000,0.049667
44,1.312728,0.644833,0.712833,0.663667,0.663667,0.049167
45,1.310745,0.648500,0.719000,0.666333,0.666333,0.052667
46,1.307000,0.653000,0.713000,0.656667,0.666333,0.056333
47,1.301662,0.649833,0.724667,0.666667,0.666667,0.058000
48,1.279414,0.660167,0.730667,0.669667,0.669667,0.061000
49,1.289284,0.656667,0.732833,0.673000,0.673000,0.059833
50,1.272354,0.665500,0.735667,0.670000,0.673000,0.065667
51,1.273478,0.664000,0.742500,0.674333,0.674333,0.068167
52,1.279743,0.655333,0.737500,0.674333,0.674333,0.063167
53,1.258829,0.678167,0.739667,0.671000,0.674333,0.068667
54,1.260820,0.671833,0.743500,0.680000,0.680000,0.063500
55,1.248834,0.679167,0.751667,0.674667,0.680000,0.077000
56,1.243926,0.676667,0.758833,0.684000,0.684000,0.074833
57,1.244983,0.682667,0.760500,0.688667,0.688667,0.071833
58,1.241220,0.676667,0.763333,0.679000,0.688667,0.084333
59,1.233949,0.681167,0.753167,0.679667,0.688667,0.073500
60,1.229626,0.691500,0.766167,0.684000,0.688667,0.082167
61,1.229077,0.690500,0.762667,0.674667,0.688667,0.088000
62,1.225439,0.683333,0.769500,0.690333,0.690333,0.079167
63,1.220682,0.699333,0.772667,0.685000,0.690333,0.087667
64,1.219746,0.695833,0.770000,0.681000,0.690333,0.089000
65,1.215636,0.693833,0.771333,0.691000,0.691000,0.080333
66,1.196518,0.705167,0.786667,0.699333,0.699333,0.087333
67,1.212887,0.700500,0.781000,0.689333,0.699333,0.091667
68,1.203138,0.701667,0.786167,0.684667,0.699333,0.101500
69,1.186713,0.708500,0.790000,0.692667,0.699333,0.097333
70,1.192193,0.705500,0.800000,0.698000,0.699333,0.102000
71,1.183171,0.717333,0.793333,0.696333,0.699333,0.097000
72,1.177681,0.720500,0.795667,0.688000,0.699333,0.107667
73,1.194612,0.708000,0.799500,0.696000,0.699333,0.103500
74,1.168832,0.720167,0.804167,0.705000,0.705000,0.099167
75,1.168834,0.720833,0.808000,0.703667,0.705000,0.104333
76,1.166608,0.719500,0.810500,0.697000,0.705000,0.113500
77,1.159882,0.725500,0.813667,0.699000,0.705000,0.114667
78,1.155519,0.727833,0.816833,0.701333,0.705000,0.115500
79,1.141050,0.729500,0.803500,0.691333,0.705000,0.112167
80,1.163795,0.723833,0.810000,0.691333,0.705000,0.118667
81,1.134782,0.743167,0.824667,0.702667,0.705000,0.122000
82,1.132313,0.741667,0.833833,0.705000,0.705000,0.128833
83,1.114989,0.748667,0.826500,0.697000,0.705000,0.129500
84,1.130368,0.747167,0.829000,0.702667,0.705000,0.126333
85,1.111825,0.756167,0.833000,0.707667,0.707667,0.125333
86,1.105992,0.755500,0.842667,0.717000,0.717000,0.125667
87,1.100929,0.752167,0.839833,0.706333,0.717000,0.133500
88,1.108507,0.745667,0.837667,0.708333,0.717000,0.129333
89,1.116179,0.754333,0.845667,0.710667,0.717000,0.135000
90,1.101584,0.756833,0.843667,0.716333,0.717000,0.127333
91,1.096215,0.759500,0.846667,0.710333,0.717000,0.136333
92,1.099461,0.756000,0.844833,0.708000,0.717000,0.136833
93,1.084763,0.768667,0.845333,0.708667,0.717000,0.136667
94,1.094399,0.755167,0.850167,0.714000,0.717000,0.136167
95,1.085789,0.763333,0.852667,0.713333,0.717000,0.139333
96,1.091689,0.759000,0.845333,0.711000,0.717000,0.134333
97,1.088440,0.767667,0.847167,0.707333,0.717000,0.139833
98,1.081434,0.766667,0.857667,0.711333,0.717000,0.146333
99,1.085419,0.760000,0.840667,0.712333,0.717000,0.128333
100,1.085137,0.768167,0.848167,0.708667,0.717000,0.139500
101,1.085166,0.765667,0.854500,0.713000,0.717000,0.141500
102,1.078121,0.770333,0.851833,0.712333,0.717000,0.139500
103,1.076056,0.770500,0.850000,0.708667,0.717000,0.141333
104,1.071380,0.773833,0.862333,0.708667,0.717000,0.153667
105,1.078726,0.766667,0.863167,0.718667,0.718667,0.144500
106,1.057007,0.780833,0.860000,0.709667,0.718667,0.150333
107,1.062406,0.779333,0.863000,0.713333,0.718667,0.149667
108,1.067464,0.777833,0.869500,0.718667,0.718667,0.150833
109,1.049613,0.784167,0.869167,0.717333,0.718667,0.151833
110,1.064039,0.779333,0.867000,0.716333,0.718667,0.150667
111,1.041937,0.788833,0.873500,0.720667,0.720667,0.152833
112,1.039795,0.796000,0.872000,0.720000,0.720667,0.152000
113,1.037034,0.794500,0.875000,0.724333,0.724333,0.150667
114,1.039450,0.787000,0.877500,0.723000,0.724333,0.154500
115,1.036818,0.786667,0.876000,0.712333,0.724333,0.163667
116,1.029762,0.798500,0.878667,0.717000,0.724333,0.161667
117,1.036837,0.789333,0.881667,0.723667,0.724333,0.158000
118,1.034119,0.791500,0.876500,0.719000,0.724333,0.157500
119,1.032539,0.792167,0.878333,0.718333,0.724333,0.160000
120,1.032943,0.790833,0.880000,0.720667,0.724333,0.159333
121,1.027524,0.794833,0.885833,0.726667,0.726667,0.159167
122,1.031596,0.794500,0.886333,0.725333,0.726667,0.161000
123,1.023061,0.799167,0.884333,0.721000,0.726667,0.163333
124,1.020944,0.798333,0.887667,0.725667,0.726667,0.162000
125,1.025792,0.800667,0.882500,0.718333,0.726667,0.164167
126,1.026587,0.801500,0.888667,0.726333,0.726667,0.162333
127,1.016089,0.806500,0.882833,0.716667,0.726667,0.166167
128,1.025183,0.803333,0.883833,0.721000,0.726667,0.162833
129,1.018749,0.801500,0.887833,0.725000,0.726667,0.162833
130,1.019815,0.800500,0.886000,0.719333,0.726667,0.166667
131,1.014563,0.799000,0.891167,0.720333,0.726667,0.170833
132,1.011966,0.806333,0.893667,0.724667,0.726667,0.169000
133,1.016522,0.802167,0.894000,0.726667,0.726667,0.167333
134,1.019746,0.800333,0.891333,0.725333,0.726667,0.166000
135,1.013484,0.804833,0.897000,0.725000,0.726667,0.172000
136,1.013316,0.801833,0.895000,0.721667,0.726667,0.173333
137,1.013194,0.801667,0.895167,0.722667,0.726667,0.172500
138,1.018441,0.798000,0.896000,0.723000,0.726667,0.173000
139,0.999633,0.814667,0.894333,0.724667,0.726667,0.169667
140,1.010136,0.803667,0.901000,0.727667,0.727667,0.173333
141,1.010266,0.803667,0.893667,0.722000,0.727667,0.171667
142,1.005712,0.808500,0.898667,0.726000,0.727667,0.172667
143,1.009246,0.799667,0.893500,0.723000,0.727667,0.170500
144,1.003280,0.803833,0.897333,0.720333,0.727667,0.177000
145,0.995736,0.813000,0.897833,0.725667,0.727667,0.172167
146,1.002691,0.806333,0.904000,0.723667,0.727667,0.180333
147,1.008669,0.806000,0.898833,0.723333,0.727667,0.175500
148,0.999255,0.812500,0.901667,0.725667,0.727667,0.176000
149,0.999831,0.811333,0.898500,0.721000,0.727667,0.177500
150,0.997768,0.806500,0.897333,0.725667,0.727667,0.171667
